variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
matesex,float64,29284,43106,2,1988-2022,"[1.0, 1.0]"
povline,float64,29128,43262,6,1972-1993,"[3.0, 3.0, 3.0, 3.0, 1.0]"
partfull,float64,29068,43322,2,1994-2022,"[1.0, 1.0]"
sexsex,float64,29027,43363,3,1988-2022,"[3.0, 1.0, 1.0]"
agekdbrn,float64,28867,43523,52,1994-2022,"[16.0, 16.0, 21.0, 31.0, 19.0]"
sexsex5,float64,28850,43540,3,1991-2022,"[1.0, 3.0, 1.0]"
racmar,float64,28784,43606,2,1972-2002,"[2.0, 2.0]"
wtssnrps,float64,28692,43698,24055,2004-2022,"[0.29777438453392635, 1.3085279911195595, 2.9717539908433963, 1.061360029920115, 1.5683029077740531]"
mode,float64,28657,43733,4,2004-2022,"[1.0, 1.0, 1.0, 1.0]"
sprel,float64,28530,43860,13,1973-2022,"[1.0, 4.0, 1.0, 1.0, 1.0]"
richwork,float64,28325,44065,2,1973-2022,"[1.0, 1.0]"
wrkgovt,float64,28079,44311,2,1985-2018,"[2.0, 2.0]"
reborn,float64,28078,44312,2,1988-2022,"[2.0, 1.0]"
wordc,float64,27846,44544,2,1974-2022,"[0.0, 0.0]"
wordh,float64,27780,44610,2,1974-2022,"[1.0, 0.0]"
relatsex,float64,27574,44816,2,1996-2022,"[2.0, 1.0]"
condom,float64,27536,44854,2,1996-2022,"[1.0, 2.0]"
spfund,float64,27510,44880,3,1973-2022,"[3.0, 1.0, 1.0]"
nateducy,float64,27309,45081,3,1984-2022,"[1.0, 1.0, 1.0]"
kish,float64,27300,45090,477,2002-2022,"[112454.0, 121114.0, 122331.0, 123121.0, 113143.0]"
savesoul,float64,27050,45340,2,1988-2022,"[2.0, 2.0]"
natfarey,float64,26999,45391,3,1984-2022,"[1.0, 3.0, 1.0]"
nathealy,float64,26969,45421,3,1984-2022,"[1.0, 1.0, 1.0]"
natcrimy,float64,26906,45484,3,1984-2022,"[1.0, 1.0, 2.0]"
incdef,float64,26797,45593,8,1972-1993,"[8.0, 7.0, 8.0, 7.0, 6.0]"
fepres,float64,26792,45598,3,1972-2010,"[1.0, 1.0, 1.0]"
nataidy,float64,26690,45700,3,1984-2022,"[3.0, 1.0, 3.0]"
mawrkslf,float64,26689,45701,2,1994-2022,"[2.0, 2.0]"
relactiv,float64,26672,45718,11,1991-2022,"[2.0, 1.0, 2.0, 2.0, 1.0]"
goodlife,float64,26647,45743,5,1987-2022,"[1.0, 2.0, 4.0, 2.0, 3.0]"
natenviy,float64,26617,45773,3,1984-2022,"[1.0, 3.0, 1.0]"
localnum,float64,26572,45818,7,1989-2022,"[3.0, 1.0, 1.0, 5.0, 1.0]"
agewed,float64,26543,45847,57,1972-2006,"[24.0, 21.0, 23.0, 25.0, 17.0]"
gender3,float64,26537,45853,3,1975-2022,"[2.0, 1.0, 1.0]"
natarmsy,float64,26474,45916,3,1984-2022,"[2.0, 2.0, 1.0]"
relate3,float64,26401,45989,8,1975-2022,"[5.0, 8.0, 3.0, 3.0, 3.0]"
discaff,float64,26356,46034,3,1990-2022,"[3.0, 3.0, 1.0]"
masei10,float64,26355,46035,335,1994-2022,"[26.1, 60.3, 12.6, 38.8, 38.8]"
maocc10,float64,26354,46036,440,1994-2022,"[8740.0, 310.0, 5120.0, 910.0, 4230.0]"
mapres10,float64,26352,46038,60,1994-2022,"[24.0, 33.0, 61.0, 66.0, 25.0]"
mapres105plus,float64,26351,46039,92,1994-2022,"[26.0, 85.0, 14.0, 18.0, 49.0]"
masei10inc,float64,26351,46039,342,1994-2022,"[4.5, 11.5, 4.1, 24.7, 59.3]"
masei10educ,float64,26330,46060,330,1994-2022,"[22.3, 57.6, 52.1, 17.3, 64.6]"
maind10,float64,26217,46173,267,1994-2022,"[9370.0, 8980.0, 8270.0, 180.0, 7860.0]"
old3,float64,26209,46181,100,1975-2022,"[20.0, 18.0, 4.0, 21.0, 0.0]"
natdrugy,float64,26044,46346,3,1984-2022,"[1.0, 1.0, 2.0]"
natspacy,float64,26042,46348,3,1984-2022,"[3.0, 1.0, 1.0]"
natsci,float64,25616,46774,3,2002-2022,"[2.0, 2.0, 1.0]"
relpersn,float64,25518,46872,4,1998-2022,"[3.0, 3.0, 2.0, 2.0]"
paisc681,float64,25513,46877,272,1988-2010,"[6110.0, 6110.0, 9594.0, 9990.0, 6110.0]"
paocc80,float64,25492,46898,463,1988-2010,"[418.0, 475.0, 213.0, 547.0, 87.0]"
papres80,float64,25492,46898,59,1988-2010,"[39.0, 45.0, 40.0, 33.0, 30.0]"
evwork,float64,25446,46944,2,1972-2022,"[1.0, 1.0]"
othlang,float64,25444,46946,2,2000-2022,"[2.0, 2.0]"
paind80,float64,25414,46976,230,1988-2010,"[400.0, 730.0, 251.0, 901.0, 10.0]"
sprtprsn,float64,25408,46982,4,1998-2022,"[2.0, 3.0, 2.0, 2.0]"
workwhts,float64,25340,47050,7,1990-2022,"[4.0, 6.0, 3.0, 1.0, 4.0]"
marcohrt,float64,25295,47095,95,1972-1994,"[1932.0, 1982.0, 1958.0, 1962.0, 1946.0]"
workblks,float64,25220,47170,7,1990-2022,"[6.0, 2.0, 4.0, 2.0, 7.0]"
pasei,float64,25094,47296,322,1988-2010,"[29.2, 73.9, 37.3, 63.5, 64.0]"
parsol,float64,24940,47450,5,1994-2022,"[2.0, 4.0, 1.0, 4.0, 1.0]"
wrkwayup,float64,24842,47548,5,1994-2022,"[2.0, 1.0, 1.0, 4.0, 1.0]"
joblose,float64,24747,47643,5,1977-2022,"[3.0, 3.0, 3.0, 4.0, 3.0]"
natracey,float64,24684,47706,3,1984-2022,"[1.0, 2.0, 2.0]"
phase,float64,24660,47730,2,2004-2022,"[1.0, 1.0]"
jobfind,float64,24637,47753,3,1977-2022,"[1.0, 1.0, 3.0]"
fework,float64,24401,47989,2,1972-1998,"[1.0, 1.0]"
marblk,float64,24377,48013,5,1990-2022,"[3.0, 2.0, 1.0, 3.0, 3.0]"
liveblks,float64,24315,48075,5,1990-2022,"[4.0, 3.0, 3.0, 3.0, 4.0]"
mawork,float64,24312,48078,2,1973-1993,"[1.0, 1.0]"
isco68,float64,24267,48123,273,1972-1990,"[9851.0, 1330.0, 280.0, 1393.0, 8340.0]"
occ,float64,24267,48123,412,1972-1990,"[381.0, 36.0, 753.0, 690.0, 703.0]"
prestige,float64,24267,48123,62,1972-1990,"[51.0, 60.0, 47.0, 40.0, 40.0]"
industry,float64,24207,48183,213,1972-1990,"[897.0, 138.0, 69.0, 219.0, 888.0]"
natcityy,float64,24154,48236,3,1984-2022,"[1.0, 3.0, 1.0]"
satcity,float64,24133,48257,7,1973-1994,"[3.0, 6.0, 3.0, 3.0, 1.0]"
satfrnd,float64,24128,48262,7,1973-1994,"[2.0, 1.0, 2.0, 4.0, 2.0]"
sathealt,float64,24121,48269,7,1973-1994,"[2.0, 2.0, 1.0, 2.0, 1.0]"
satfam,float64,24070,48320,7,1973-1994,"[2.0, 3.0, 1.0, 4.0, 1.0]"
dotpeop,float64,24055,48335,232,1972-1990,"[2.03, 6.0, 7.91, 7.91, 7.91]"
dotpres,float64,24055,48335,367,1972-1990,"[37.5, 37.6, 48.3, 44.4, 60.7]"
dotsvp,float64,24055,48335,345,1972-1990,"[6.81, 6.96, 6.39, 5.98, 6.6]"
dotged,float64,24055,48335,281,1972-1990,"[3.02, 5.93, 4.93, 3.06, 5.26]"
dotdata,float64,24055,48335,306,1972-1990,"[1.42, 1.97, 2.03, 1.21, 1.42]"
dotthng,float64,24055,48335,319,1972-1990,"[7.18, 1.26, 1.25, 2.33, 7.98]"
sathobby,float64,24034,48356,7,1973-1994,"[2.0, 2.0, 2.0, 2.0, 2.0]"
evcrack,float64,23822,48568,2,2000-2022,"[2.0, 2.0]"
affrmact,float64,23801,48589,4,1994-2022,"[4.0, 1.0, 3.0, 3.0]"
intlwhts,float64,23785,48605,7,1990-2022,"[5.0, 5.0, 7.0, 7.0, 4.0]"
evidu,float64,23783,48607,2,2000-2022,"[2.0, 2.0]"
intlblks,float64,23709,48681,7,1990-2022,"[4.0, 4.0, 5.0, 4.0, 4.0]"
uswary,float64,23625,48765,2,1976-2022,"[2.0, 2.0]"
racpres,float64,23212,49178,2,1972-2010,"[1.0, 1.0]"
intid,float64,23022,49368,227,2004-2022,"[4.0, 131.0, 157.0, 6.0, 85.0]"
busing,float64,22886,49504,2,1972-1996,"[1.0, 2.0]"
inthisp,float64,22825,49565,23,2004-2022,"[1.0, 1.0, 1.0, 1.0, 1.0]"
rachome,float64,22774,49616,2,1973-2006,"[2.0, 2.0]"
sphrs1,float64,22748,49642,88,1973-2022,"[40.0, 40.0, 55.0, 40.0, 45.0]"
intrace1,float64,22736,49654,14,2004-2022,"[1.0, 1.0, 2.0, 1.0, 2.0]"
meovrwrk,float64,22616,49774,5,1994-2022,"[4.0, 2.0, 2.0, 4.0, 5.0]"
wlthwhts,float64,22573,49817,7,1990-2022,"[4.0, 4.0, 4.0, 4.0, 1.0]"
intethn,float64,22540,49850,5,2004-2022,"[1.0, 2.0, 2.0, 5.0, 1.0]"
fehome,float64,22538,49852,2,1974-1998,"[2.0, 2.0]"
relhh2,float64,22511,49879,21,2000-2022,"[2.0, 2.0, 2.0, 2.0, 4.0]"
wlthblks,float64,22485,49905,7,1990-2022,"[5.0, 5.0, 7.0, 5.0, 5.0]"
paisco68,float64,22300,50090,265,1972-1990,"[3700.0, 8490.0, 9595.0, 9990.0, 5520.0]"
papres16,float64,22300,50090,63,1972-1990,"[35.0, 69.0, 29.0, 50.0, 36.0]"
paocc16,float64,22295,50095,384,1972-1990,"[590.0, 245.0, 441.0, 715.0, 245.0]"
paind16,float64,22272,50118,212,1972-1990,"[77.0, 67.0, 478.0, 219.0, 849.0]"
padotthn,float64,22005,50385,318,1972-1990,"[7.93, 3.51, 6.09, 1.51, 5.89]"
padotpeo,float64,22005,50385,219,1972-1990,"[8.0, 7.97, 6.04, 7.27, 5.59]"
padotdat,float64,22005,50385,297,1972-1990,"[1.68, 2.22, 6.42, 0.37, 5.85]"
padotged,float64,22005,50385,270,1972-1990,"[4.37, 4.0, 4.99, 2.58, 3.85]"
padotsvp,float64,22005,50385,329,1972-1990,"[6.61, 6.54, 6.62, 3.62, 6.97]"
padotpre,float64,22005,50385,353,1972-1990,"[20.5, 20.5, 29.1, 30.9, 41.0]"
jobmeans,float64,21814,50576,5,1973-2014,"[4.0, 3.0, 1.0, 4.0, 5.0]"
jobinc,float64,21806,50584,5,1973-2014,"[4.0, 5.0, 3.0, 3.0, 1.0]"
jobsec,float64,21805,50585,5,1973-2014,"[3.0, 5.0, 4.0, 3.0, 5.0]"
jobpromo,float64,21803,50587,5,1973-2014,"[3.0, 2.0, 3.0, 2.0, 1.0]"
jobhour,float64,21801,50589,5,1973-2014,"[4.0, 3.0, 5.0, 5.0, 4.0]"
racfew,float64,21498,50892,2,1972-1996,"[2.0, 2.0]"
anomia7,float64,21232,51158,2,1973-2006,"[1.0, 2.0]"
wtss,float64,21116,51274,155,2004-2018,"[0.45, 0.9429971096532398, 0.8754895027391058, 0.4377447513695529, 0.43]"
wtssnr,float64,21116,51274,2969,2004-2018,"[0.41, 0.46862170522575747, 1.44, 1.0, 0.51]"
maisco08,float64,21089,51301,299,1994-2018,"[4311.0, 3434.0, 5141.0, 9111.0, 5223.0]"
maisco88,float64,21089,51301,253,1994-2018,"[5220.0, 4211.0, 2221.0, 7442.0, 4115.0]"
rank,float64,21039,51351,10,1983-2022,"[7.0, 5.0, 2.0, 5.0, 5.0]"
intyrs,float64,21015,51375,189,2004-2018,"[12.0, 17.2, 0.0, 0.2, 2.2]"
intage,float64,21015,51375,64,2004-2018,"[59.0, 50.0, 39.0, 40.0, 57.0]"
chldmore,float64,20960,51430,4,1972-1994,"[2.0, 2.0, 2.0, 2.0]"
eth2,float64,20937,51453,53,1984-2022,"[8.0, 14.0, 24.0, 8.0, 23.0]"
kidssol,float64,20865,51525,6,1994-2022,"[4.0, 4.0, 4.0, 1.0, 2.0]"
memnum,float64,20790,51600,17,1974-2004,"[1.0, 2.0, 1.0, 1.0, 0.0]"
intsex,float64,20728,51662,2,2004-2018,"[1.0, 2.0]"
memchurh,float64,20655,51735,2,1974-2004,"[2.0, 1.0]"
memsport,float64,20637,51753,2,1974-2004,"[2.0, 2.0]"
memvet,float64,20625,51765,2,1974-2004,"[2.0, 2.0]"
memunion,float64,20621,51769,2,1974-2004,"[2.0, 2.0]"
mempolit,float64,20615,51775,2,1974-2004,"[1.0, 2.0]"
memfrat,float64,20611,51779,2,1974-2004,"[2.0, 2.0]"
memserv,float64,20610,51780,2,1974-2004,"[2.0, 2.0]"
memhobby,float64,20608,51782,2,1974-2004,"[2.0, 2.0]"
memschl,float64,20607,51783,2,1974-2004,"[2.0, 2.0]"
memprof,float64,20607,51783,2,1974-2004,"[2.0, 2.0]"
memyouth,float64,20607,51783,2,1974-2004,"[2.0, 2.0]"
memgreek,float64,20603,51787,2,1974-2004,"[2.0, 2.0]"
memlit,float64,20601,51789,2,1974-2004,"[2.0, 2.0]"
memnat,float64,20589,51801,2,1974-2004,"[2.0, 1.0]"
memfarm,float64,20589,51801,2,1974-2004,"[2.0, 2.0]"
burglr,float64,20351,52039,2,1973-1994,"[2.0, 2.0]"
robbry,float64,20325,52065,2,1973-1994,"[2.0, 2.0]"
memother,float64,20058,52332,2,1974-2004,"[2.0, 2.0]"
rachaf,float64,20052,52338,2,1972-1996,"[2.0, 1.0]"
anomia6,float64,19786,52604,2,1973-1994,"[2.0, 2.0]"
marhisp,float64,19709,52681,5,1990-2022,"[3.0, 3.0, 2.0, 3.0, 2.0]"
marasian,float64,19689,52701,5,1990-2022,"[3.0, 3.0, 3.0, 4.0, 3.0]"
anomia5,float64,19667,52723,2,1973-1994,"[1.0, 1.0]"
racseg,float64,19551,52839,4,1972-1996,"[4.0, 4.0, 4.0, 1.0]"
racpush,float64,19445,52945,4,1972-2002,"[2.0, 2.0, 1.0, 4.0]"
hit,float64,19344,53046,2,1973-1994,"[2.0, 2.0]"
gun,float64,19328,53062,2,1973-1994,"[2.0, 1.0]"
usintl,float64,19312,53078,2,1973-2006,"[1.0, 1.0]"
marwht,float64,19276,53114,5,2000-2022,"[1.0, 3.0, 3.0, 3.0, 1.0]"
commun,float64,19006,53384,4,1973-1994,"[3.0, 2.0, 2.0, 2.0]"
compuse,float64,18937,53453,2,2000-2022,"[1.0, 1.0]"
natenrgy,float64,18692,53698,3,2010-2022,"[1.0, 1.0, 2.0]"
porninf,float64,18604,53786,2,1973-1994,"[1.0, 1.0]"
pornmorl,float64,18549,53841,2,1973-1994,"[1.0, 1.0]"
famdif16,float64,18355,54035,5,1973-2022,"[1.0, 2.0, 2.0, 2.0, 2.0]"
hitok,float64,18337,54053,2,1973-1994,"[1.0, 1.0]"
pornrape,float64,18085,54305,2,1973-1994,"[1.0, 1.0]"
hitmarch,float64,18055,54335,2,1973-1994,"[2.0, 1.0]"
hitrobbr,float64,17998,54392,2,1973-1994,"[1.0, 1.0]"
hitdrunk,float64,17907,54483,2,1973-1994,"[2.0, 2.0]"
letin1a,float64,17883,54507,5,2004-2022,"[2.0, 3.0, 4.0, 5.0, 3.0]"
relsp2,float64,17762,54628,1,2000-2022,[1.0]
relsp1,float64,17743,54647,3,2000-2022,"[2.0, 2.0, 2.0]"
hitchild,float64,17742,54648,2,1973-1994,"[1.0, 1.0]"
hitbeatr,float64,17676,54714,2,1973-1994,"[2.0, 2.0]"
marcohab,float64,17274,55116,4,2012-2022,"[1.0, 3.0, 1.0, 1.0]"
wirtap,float64,17222,55168,2,1974-1994,"[2.0, 2.0]"
pornout,float64,17212,55178,2,1973-1994,"[1.0, 1.0]"
wwwhr,float64,17186,55204,89,2000-2022,"[5.0, 21.0, 15.0, 5.0, 35.0]"
saqsex,float64,17122,55268,5,1996-2006,"[1.0, 5.0, 1.0, 1.0, 4.0]"
sprel16,float64,16935,55455,5,1973-2012,"[1.0, 1.0, 2.0, 4.0, 2.0]"
usun,float64,16882,55508,2,1973-1994,"[1.0, 1.0]"
hivtest,float64,16817,55573,2,2006-2022,"[1.0, 2.0]"
spden,float64,16663,55727,27,1973-2022,"[28.0, 48.0, 60.0, 14.0, 70.0]"
spfund16,float64,16510,55880,3,1973-1994,"[1.0, 1.0, 2.0]"
mapa,float64,16452,55938,7,1984-2008,"[5.0, 7.0, 4.0, 4.0, 4.0]"
frndking,float64,16423,55967,7,1984-2008,"[4.0, 6.0, 4.0, 7.0, 3.0]"
world1,float64,16381,56009,7,1985-2002,"[7.0, 5.0, 5.0, 1.0, 5.0]"
drink,float64,16374,56016,2,1977-1994,"[2.0, 2.0]"
smoke,float64,16373,56017,2,1977-1994,"[2.0, 1.0]"
consent,float64,16351,56039,2,2008-2022,"[1.0, 1.0]"
judgeluv,float64,16255,56135,7,1984-2008,"[7.0, 4.0, 1.0, 1.0, 5.0]"
mastersp,float64,16217,56173,7,1984-2008,"[2.0, 1.0, 2.0, 6.0, 4.0]"
wwwmin,float64,16144,56246,43,2000-2022,"[0.0, 0.0, 0.0, 15.0, 0.0]"
racmost,float64,16107,56283,2,1972-1996,"[2.0, 2.0]"
relhhd3,float64,15903,56487,18,1993-2022,"[4.0, 8.0, 4.0, 4.0, 4.0]"
stress,float64,15879,56511,5,1989-2022,"[4.0, 3.0, 2.0, 3.0, 4.0]"
closeblk,float64,15876,56514,9,1996-2016,"[1.0, 6.0, 2.0, 5.0, 5.0]"
closewht,float64,15822,56568,9,1996-2016,"[5.0, 5.0, 9.0, 5.0, 9.0]"
canada,float64,15742,56648,10,1974-1994,"[1.0, 4.0, 1.0, 1.0, 2.0]"
gender4,float64,15719,56671,3,1975-2022,"[1.0, 1.0, 1.0]"
relate4,float64,15679,56711,8,1975-2022,"[3.0, 3.0, 3.0, 3.0, 3.0]"
japan,float64,15564,56826,10,1974-1994,"[0.0, 2.0, 8.0, 1.0, 2.0]"
russia,float64,15531,56859,10,1974-1994,"[2.0, 9.0, 5.0, 1.0, 9.0]"
old4,float64,15517,56873,98,1975-2022,"[15.0, 17.0, 12.0, 60.0, 4.0]"
rowngun,float64,15385,57005,3,1980-2022,"[1.0, 1.0, 2.0]"
dipged,float64,15378,57012,4,2012-2022,"[1.0, 1.0, 1.0, 1.0]"
spocc80,float64,15328,57062,478,1988-2010,"[796.0, 567.0, 505.0, 869.0, 25.0]"
spisc681,float64,15326,57064,281,1988-2010,"[710.0, 3311.0, 9710.0, 2190.0, 5329.0]"
sppres80,float64,15324,57066,59,1988-2010,"[34.0, 53.0, 22.0, 42.0, 47.0]"
fehelp,float64,15311,57079,4,1977-1998,"[3.0, 4.0, 3.0, 4.0]"
china,float64,15309,57081,10,1974-1994,"[3.0, 2.0, 3.0, 3.0, 4.0]"
spsei,float64,15204,57186,329,1988-2010,"[64.4, 31.5, 29.3, 52.5, 32.3]"
israel,float64,15202,57188,10,1974-1994,"[7.0, 9.0, 3.0, 4.0, 4.0]"
spind80,float64,15201,57189,237,1988-2010,"[700.0, 751.0, 60.0, 831.0, 712.0]"
wksups,float64,15163,57227,2,1972-2022,"[4.0, 3.0]"
posslq,float64,15102,57288,4,1986-2022,"[4.0, 3.0, 1.0, 3.0]"
emailhr,float64,15060,57330,66,2000-2022,"[0.0, 1.0, 0.0, 0.0, 2.0]"
mar3,float64,15006,57384,5,1975-2022,"[5.0, 5.0, 3.0, 5.0, 5.0]"
egypt,float64,14899,57491,10,1974-1994,"[4.0, 6.0, 5.0, 4.0, 3.0]"
death16,float64,14877,57513,10,1978-1994,"[1.0, 0.0, 0.0, 4.0, 5.0]"
unemp5,float64,14779,57611,9,1978-1994,"[0.0, 0.0, 4.0, 0.0, 3.0]"
racchurh,float64,14762,57628,3,1978-1994,"[2.0, 1.0, 2.0]"
death5,float64,14744,57646,9,1978-1994,"[0.0, 2.0, 3.0, 1.0, 6.0]"
hosdis5,float64,14674,57716,4,1978-1994,"[1.0, 0.0, 0.0, 0.0]"
sppres,float64,14564,57826,62,1972-1990,"[17.0, 50.0, 78.0, 17.0, 57.0]"
spisco68,float64,14564,57826,268,1972-1990,"[6110.0, 7000.0, 1310.0, 4510.0, 8440.0]"
spocc,float64,14560,57830,399,1972-1990,"[705.0, 75.0, 916.0, 441.0, 441.0]"
spind,float64,14501,57889,213,1972-1990,"[609.0, 197.0, 839.0, 68.0, 69.0]"
divorce5,float64,14499,57891,4,1978-1994,"[0.0, 0.0, 0.0, 0.0]"
sexornt,float64,14498,57892,3,2008-2022,"[3.0, 3.0, 3.0]"
racclos,float64,14427,57963,2,1972-1994,"[1.0, 1.0]"
spdotged,float64,14391,57999,277,1972-1990,"[5.06, 2.17, 2.88, 3.4, 3.87]"
spdotthn,float64,14391,57999,321,1972-1990,"[4.37, 1.51, 7.41, 3.13, 7.97]"
spdotsvp,float64,14391,57999,337,1972-1990,"[3.24, 6.14, 4.0, 4.1, 5.98]"
spdotpre,float64,14391,57999,355,1972-1990,"[45.2, 45.9, 27.4, 29.1, 38.7]"
spdotpeo,float64,14391,57999,231,1972-1990,"[4.0, 6.07, 7.77, 7.84, 6.03]"
spdotdat,float64,14391,57999,301,1972-1990,"[3.13, 2.06, 2.98, 2.98, 6.53]"
feelevel,float64,14351,58039,21,2004-2022,"[20.0, 20.0, 75.0, 75.0, 50.0]"
maisc681,float64,14320,58070,233,1994-2010,"[690.0, 2190.0, 1590.0, 5312.0, 3319.0]"
racdis,float64,14316,58074,4,1972-1994,"[1.0, 2.0, 1.0, 3.0]"
mapres80,float64,14313,58077,59,1994-2010,"[64.0, 28.0, 46.0, 23.0, 41.0]"
maocc80,float64,14313,58077,357,1994-2010,"[436.0, 337.0, 889.0, 843.0, 337.0]"
masei,float64,14300,58090,270,1994-2010,"[27.7, 21.2, 29.0, 38.0, 25.5]"
maind80,float64,14205,58185,223,1994-2010,"[152.0, 842.0, 392.0, 841.0, 641.0]"
racwork,float64,14160,58230,6,1990-2022,"[2.0, 2.0, 3.0, 2.0, 3.0]"
trauma5,float64,14127,58263,5,1978-1994,"[1.0, 2.0, 1.0, 0.0, 2.0]"
trauma1,float64,14127,58263,5,1978-1994,"[0.0, 0.0, 1.0, 0.0, 0.0]"
padeath,float64,14079,58311,5,1978-1994,"[2.0, 2.0, 0.0, 0.0, 1.0]"
madeath,float64,14045,58345,5,1978-1994,"[2.0, 2.0, 0.0, 0.0, 2.0]"
sibdeath,float64,13978,58412,4,1978-1994,"[0.0, 2.0, 0.0, 0.0]"
colmslm,float64,13839,58551,2,2008-2022,"[5.0, 4.0]"
fehire,float64,13779,58611,5,1996-2022,"[1.0, 5.0, 2.0, 5.0, 1.0]"
socpars,float64,13434,58956,8,1978-1994,"[4.0, 2.0, 5.0, 2.0, 6.0]"
socsibs,float64,13423,58967,8,1978-1994,"[0.0, 5.0, 6.0, 6.0, 4.0]"
mntlhlth,float64,13242,59148,31,2002-2022,"[20.0, 2.0, 4.0, 0.0, 0.0]"
goveqinc,float64,13193,59197,5,1987-2021,"[3.0, 4.0, 5.0, 5.0, 5.0]"
racinteg,float64,13109,59281,3,1972-1994,"[2.0, 2.0, 2.0]"
formwt,float64,13010,59380,119,1978-2022,"[1.0, 1.0, 0.604, 1.0, 1.0]"
emailmin,float64,12983,59407,38,2000-2022,"[0.0, 7.0, 20.0, 0.0, 0.0]"
saqissp,float64,12790,59600,5,1996-2004,"[1.0, 4.0, 2.0, 4.0, 5.0]"
livewhts,float64,12651,59739,5,2000-2016,"[4.0, 3.0, 1.0, 3.0, 2.0]"
ticket,float64,12541,59849,3,1973-2012,"[1.0, 2.0, 1.0]"
arrest,float64,12342,60048,3,1973-2012,"[2.0, 2.0, 2.0]"
spevwork,float64,12301,60089,2,1972-2022,"[2.0, 1.0]"
trynewjb,float64,12196,60194,3,2002-2022,"[3.0, 3.0, 1.0]"
uswar,float64,12114,60276,2,1973-2016,"[1.0, 1.0]"
govaid,float64,12085,60305,2,1973-1983,"[1.0, 2.0]"
racdin,float64,12033,60357,3,1972-1985,"[3.0, 3.0, 3.0]"
ballotformwt,float64,11998,60392,3195,2002-2018,"[0.5578, 0.9297564748548531, 0.46312768418993483, 0.9892958738948443, 0.4118981299506783]"
spdeath,float64,11986,60404,4,1978-1994,"[0.0, 1.0, 0.0, 0.0]"
world4,float64,11783,60607,7,1985-1998,"[5.0, 2.0, 7.0, 3.0, 5.0]"
nextgen,float64,11774,60616,4,2006-2022,"[2.0, 2.0, 1.0, 2.0]"
relhh3,float64,11772,60618,20,2000-2022,"[43.0, 41.0, 4.0, 5.0, 4.0]"
toofast,float64,11730,60660,4,2006-2022,"[2.0, 2.0, 3.0, 4.0]"
advfront,float64,11647,60743,4,2006-2022,"[2.0, 2.0, 1.0, 2.0]"
income06,float64,11524,60866,25,2006-2014,"[1.0, 19.0, 20.0, 8.0, 15.0]"
drunk,float64,11486,60904,2,1977-1994,"[2.0, 1.0]"
libmslm,float64,11420,60970,2,2008-2022,"[2.0, 2.0]"
spkmslm,float64,11418,60972,2,2008-2022,"[1.0, 2.0]"
income16,float64,11367,61023,26,2016-2022,"[18.0, 17.0, 5.0, 22.0, 15.0]"
relexp,float64,11074,61316,2,1998-2021,"[2.0, 2.0]"
spden16,float64,10981,61409,27,1973-1994,"[60.0, 60.0, 60.0, 38.0, 18.0]"
marhomo1,float64,10973,61417,5,2006-2018,"[5.0, 1.0, 5.0, 3.0, 2.0]"
manvsemp,float64,10925,61465,5,2002-2022,"[2.0, 3.0, 1.0, 3.0, 1.0]"
relexper,float64,10867,61523,2,1991-2010,"[2.0, 2.0]"
chlddth,float64,10615,61775,4,1978-1994,"[0.0, 0.0, 0.0, 0.0]"
fejobaff,float64,10452,61938,4,1996-2022,"[4.0, 1.0, 4.0, 1.0]"
wkvsfam,float64,10439,61951,4,2002-2022,"[2.0, 1.0, 4.0, 4.0]"
wkageism,float64,10408,61982,2,2002-2022,"[2.0, 1.0]"
wkracism,float64,10399,61991,2,2002-2022,"[2.0, 2.0]"
workhsps,float64,10336,62054,7,1990-2022,"[2.0, 4.0, 4.0, 7.0, 4.0]"
jobsecok,float64,10334,62056,4,2002-2022,"[2.0, 2.0, 2.0, 2.0]"
discaffm,float64,10323,62067,4,1996-2022,"[2.0, 2.0, 3.0, 1.0]"
health1,float64,10300,62090,5,2002-2022,"[2.0, 3.0, 2.0, 2.0, 3.0]"
viruses,float64,10292,62098,2,2006-2021,"[1.0, 2.0]"
ratetone,float64,10275,62115,10,2012-2022,"[1.0, 1.0, 3.0, 5.0, 1.0]"
vietdraft,float64,10274,62116,2,1978-2021,"[1.0, 1.0]"
vote92,float64,10146,62244,4,1993-1998,"[1.0, 1.0, 2.0, 1.0]"
supcares,float64,10063,62327,4,2002-2022,"[3.0, 1.0, 1.0, 2.0]"
neargod,float64,10009,62381,5,1983-1991,"[2.0, 1.0, 1.0, 2.0, 2.0]"
racschol,float64,9945,62445,2,1972-1985,"[1.0, 1.0]"
income98,float64,9904,62486,23,1998-2004,"[15.0, 20.0, 14.0, 11.0, 20.0]"
hunt1,float64,9820,62570,4,2016-2022,"[4.0, 4.0, 4.0, 4.0]"
jobsall,float64,9628,62762,4,1985-2016,"[1.0, 4.0, 3.0, 3.0]"
evsmoke,float64,9418,62972,2,1978-1994,"[2.0, 1.0]"
waypaid,float64,9301,63089,12,2002-2022,"[2.0, 2.0, 1.0, 1.0, 2.0]"
vote16,float64,9297,63093,3,2018-2022,"[1.0, 1.0, 1.0]"
wrksched,float64,9288,63102,6,2002-2022,"[1.0, 3.0, 1.0, 2.0, 1.0]"
wrkhome,float64,9287,63103,6,2002-2022,"[1.0, 1.0, 1.0, 2.0, 1.0]"
secondwk,float64,9286,63104,2,2002-2022,"[2.0, 2.0]"
