variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
rincome,float64,42333,30057,12,1974-2022,"[12.0, 12.0, 4.0, 10.0, 11.0]"
realrinc,float64,42333,30057,654,1974-2022,"[55515.0, 19846.0, 234366.65324100002, 1526.0, 9167.0]"
libcom,float64,42249,30141,2,1972-2022,"[1.0, 2.0]"
helpful,float64,42219,30171,3,1972-2022,"[2.0, 1.0, 2.0]"
fair,float64,42089,30301,3,1972-2022,"[2.0, 3.0, 2.0]"
polescap,float64,41992,30398,2,1973-2022,"[2.0, 1.0]"
hunt,float64,41574,30816,4,1977-2022,"[4.0, 4.0, 4.0, 1.0]"
hrs1,float64,41560,30830,90,1973-2022,"[50.0, 42.0, 20.0, 47.0, 40.0]"
getahead,float64,41296,31094,4,1973-2022,"[2.0, 1.0, 2.0, 1.0]"
colcom,float64,41249,31141,2,1972-2022,"[5.0, 5.0]"
colhomo,float64,41024,31366,2,1973-2021,"[5.0, 4.0]"
denom,float64,40938,31452,27,1972-2022,"[50.0, 18.0, 70.0, 60.0, 60.0]"
sexeduc,float64,40775,31615,3,1974-2022,"[1.0, 1.0, 1.0]"
polattak,float64,40765,31625,2,1973-2022,"[1.0, 1.0]"
denom16,float64,40762,31628,27,1973-2022,"[12.0, 42.0, 28.0, 18.0, 15.0]"
weekswrk,float64,40677,31713,53,1994-2022,"[0.0, 46.0, 45.0, 40.0, 52.0]"
wksub,float64,40544,31846,2,1972-2022,"[1.0, 1.0]"
polabuse,float64,40482,31908,2,1973-2022,"[2.0, 2.0]"
aged,float64,40443,31947,3,1973-2022,"[1.0, 1.0, 2.0]"
colrac,float64,40379,32011,2,1976-2022,"[5.0, 4.0]"
tax,float64,40248,32142,4,1976-2022,"[1.0, 2.0, 1.0, 2.0]"
spkhomo,float64,39927,32463,2,1973-2021,"[1.0, 1.0]"
libhomo,float64,39886,32504,2,1973-2021,"[1.0, 2.0]"
nateduc,float64,39835,32555,3,1973-2022,"[2.0, 1.0, 1.0]"
wksup,float64,39640,32750,2,1972-2022,"[1.0, 2.0]"
polhitok,float64,39604,32786,2,1973-2022,"[2.0, 1.0]"
natheal,float64,39595,32795,3,1973-2022,"[2.0, 1.0, 1.0]"
abany,float64,39258,33132,2,1977-2022,"[1.0, 2.0]"
natcrime,float64,39242,33148,3,1973-2022,"[2.0, 1.0, 1.0]"
natfare,float64,39190,33200,3,1973-2022,"[2.0, 3.0, 2.0]"
natenvir,float64,39147,33243,3,1973-2022,"[1.0, 2.0, 1.0]"
mawrkgrw,float64,39141,33249,2,1994-2022,"[1.0, 1.0]"
natarms,float64,38905,33485,3,1973-2022,"[2.0, 1.0, 3.0]"
natdrug,float64,38880,33510,3,1973-2022,"[1.0, 2.0, 2.0]"
nataid,float64,38820,33570,3,1973-2022,"[3.0, 2.0, 3.0]"
eqwlth,float64,38758,33632,7,1978-2022,"[4.0, 1.0, 3.0, 4.0, 3.0]"
grass,float64,38669,33721,2,1973-2022,"[1.0, 1.0]"
divlaw,float64,38623,33767,3,1974-2022,"[3.0, 2.0, 3.0]"
spkrac,float64,38426,33964,2,1976-2022,"[1.0, 1.0]"
